name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
		PrepaidAssets,"87,452,000","47,217,000","68,388,000","62,895,000","57,770,000","39,353,000","40,270,000","40,378,000","42,103,000","37,424,000","39,239,000","43,136,000","28,260,000","14,272,000","14,878,000","15,087,000","15,075,000","10,509,000","12,950,000","8,611,000","9,151,000","8,108,000","8,023,000","8,288,000","9,301,000","8,203,000","6,354,000","4,032,000","5,870,000","2,709,000","3,246,000","2,773,000","3,195,000","2,344,000"
		RestrictedCash,"16,977,000","16,977,000","16,976,000","18,227,000","18,226,000","18,237,000","18,235,000","18,228,000","19,286,000","19,276,000","16,739,000","14,761,000",,,,,,,,"100,987,000",,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,"386,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"1,644,184,000","1,715,154,000","918,380,000","913,634,000","917,943,000","939,382,000","917,188,000","907,571,000","906,961,000","925,882,000","918,704,000","983,549,000","342,282,000","285,674,000","279,736,000","271,512,000","266,633,000","234,009,000","218,634,000","91,514,000","79,968,000","59,622,000","48,649,000","44,055,000","39,445,000","38,134,000","34,197,000","26,454,000","23,797,000","23,051,000","20,270,000","19,670,000","20,553,000","17,461,000"
		NetPPE,"124,717,000","125,491,000","125,946,000","118,165,000","110,398,000","113,519,000","107,056,000","104,879,000","104,690,000","101,044,000","96,496,000","93,927,000","87,168,000","52,299,000","51,527,000","50,264,000","50,669,000","49,055,000","45,025,000","34,390,000","29,659,000","15,596,000","7,818,000","3,994,000","3,604,000","8,128,000","7,791,000","7,353,000","6,936,000","6,755,000","5,841,000","5,741,000","5,662,000","5,231,000"
			GrossPPE,"124,717,000","166,673,000","125,946,000","118,165,000","110,398,000","148,506,000","107,056,000","104,879,000","104,690,000","125,343,000","96,496,000","93,927,000","87,168,000","67,100,000","51,527,000","50,264,000","50,669,000","56,153,000","45,025,000","34,390,000","29,659,000","19,692,000","11,819,000","7,571,000","6,786,000","16,618,000","16,753,000","15,637,000","14,525,000","13,741,000","12,296,000","11,597,000","10,897,000","9,866,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,,"26,193,000",,,,"27,094,000",,,,"27,163,000",,,,"20,002,000",,,,"13,873,000",,,,"6,139,000","5,573,000","4,902,000","4,691,000","13,141,000","13,708,000","12,414,000","12,743,000","11,940,000","10,590,000","9,890,000","9,242,000","8,372,000"
				OtherProperties,"124,717,000","76,841,000","125,946,000","118,165,000","110,398,000","60,785,000","107,056,000","104,879,000","104,690,000","43,401,000","96,496,000","93,927,000","87,168,000","52,299,000","51,527,000","50,264,000","50,669,000","49,055,000","45,025,000","34,390,000","29,659,000","15,596,000",,,,"8,128,000","7,791,000",,"6,936,000","6,755,000",,,,
				ConstructionInProgress,,"5,667,000",,,,"2,184,000",,,,"4,318,000",,,,"1,940,000",,,,"194,000",,,,"6,864,000","4,400,000","823,000","257,000","1,640,000","1,264,000","1,441,000",,,,,,
				Leases,,"57,972,000",,,,"58,443,000",,,,"50,461,000",,,,"45,158,000",,,,"42,086,000",,,,"6,689,000","1,846,000","1,846,000","1,838,000","1,837,000","1,781,000","1,782,000","1,782,000","1,801,000","1,706,000","1,707,000","1,655,000","1,494,000"
