name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008
			CurrentCapitalLeaseObligation,"975,466","363,714",,,,,,,,,,,"1,340,700","1,340,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,"77,000","124,000","190,000","303,000","334,000","359,000","394,000","406,000","364,000","320,000","267,000","54,405",,,,,,,,,,,,"0",,"0","177,500","177,500","202,500","380,000","170,000","618,000","43,000","43,000","330,000","25,000","130,000","68,000",,,,,,,,,,,
			CurrentDeferredRevenue,,,,,,,"77,000","124,000","190,000","303,000","334,000","359,000","394,000","406,000","364,000","320,000","267,000","54,405",,,,,,,,,,,,"0","0","0","177,500","177,500","202,500","380,000","170,000","618,000","43,000","43,000","330,000","25,000","130,000","68,000",,,,,,,,,,,
		OtherCurrentLiabilities,"4,315,463","4,583,916",,,,,"3,565,942","4,079,769","7,190,000","16,335,000","21,241,839","34,870,299","9,302,051","3,163,519","2,013,128",,,"0","7,000","1,004,201","0","0","0","0","0","0","0","0","0","0",,"0","0","0","1,213,000","558,000","558,000","0","25,000","25,000","330,000","312,000","130,000","68,000","93,000","120,393","121,393","121,393","139,000","141,064","0","0","0","0","0"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"31,836,091","25,896,053","24,998,290","204,026,531","186,608,478","219,740,970","548,722","20,689,411","26,950,491","38,542,908","26,977,898","26,981,692","8,441,129","8,312,079","0","1,692,344","1,700,608","6,472,381","2,037,118","2,075,415","2,083,159","2,088,429","0","0","0","0","10,000","10,000","10,000","2,494,141","2,495,244","2,497,258","2,456,825","2,292,890","2,346,516","2,409,598","2,448,632","362,186","64,190","63,889","66,738","69,550","20,409","22,048","23,660","25,253","26,829","0","0","0","0","0","0","0","0"
		LongTermDebtAndCapitalLeaseObligation,"31,836,091","25,896,053","24,791,250","200,900,000","182,200,000","197,700,000","548,722","783,889","7,430,000","19,400,000","8,205,270","8,572,182","8,441,129","8,312,079",,"1,692,344","1,700,608","6,472,381","2,037,118","2,075,415","2,083,159","2,088,429",,"0",,"0","10,000","10,000","10,000","2,494,141","2,495,244","2,497,258","2,456,825","2,292,890","2,346,516","2,409,598","2,448,632","362,186","64,190","63,889","66,738","69,550","20,409","22,048","23,660","25,253","26,829",,,,,,,,
			LongTermDebt,"25,072,357","24,705,000","24,791,250","200,900,000","182,200,000","197,700,000","548,722","783,889","7,430,000","19,400,000","8,205,270","8,572,182","8,441,129","8,312,079",,"1,692,344","1,700,608","6,472,381","2,037,118","2,075,415","2,083,159","2,088,429",,"0",,"0","10,000","10,000","10,000","2,494,141","2,495,244","2,497,258","2,456,825","2,292,890","2,346,516","2,409,598","2,448,632","362,186","64,190","63,889","66,738","69,550","20,409","22,048","23,660","25,253","26,829",,,,,,,,
			LongTermCapitalLeaseObligation,"6,763,734","1,191,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,"0",,"2,919,491","4,201,438","21,833,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,,"0",,"2,919,491","4,201,438","21,833,930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,"0","19,905,522","19,520,491","19,142,908","18,772,628","18,409,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,,,"207,040","207,040","207,040","207,040",,,,,,,,,,,,"0","0","0","0","0",,,,,"0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,,,,,,,
TotalEquityGrossMinorityInterest,"156,194,769","174,692,773","140,933,562","222,841,401","275,604,211","395,204,334","-12,186,174","-70,476,795","-21,996,628","-34,913,110","-38,364,761","-45,027,814","-17,995,810","-15,422,443","1,990,862","-5,155,869","-1,559,335","2,489,121","13,028,393","11,301,629","19,217,709","3,816,974","6,138,343","6,849,006","5,555,186","-3,783,135","-1,545,362","-1,718,962","-218,649","-809,387","1,154,594","2,168,692","-1,298,073","-1,906,471","-936,853","-181,281","293,876","-2,580,033","-3,849,038","-3,022,524","-2,425,704","-1,556,304","-693,710","1,155,130","-830,311","-280,500","-326,238","-1,133,387","-904,985","-503,712","-65,869","-57,247","-38,786","-19,410","15,499"
